step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,C_stopped,C_accumulated_waiting_time,C_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
1165.0,0,0.0,0.0,10.783014120692325,0,0.0,0.8665403076699154,0,0.0
1170.0,1,2.0,0.07692307692307693,10.937739647752993,1,2.0,0.7003839167257483,1,2.0
1175.0,2,12.0,0.3870967741935484,12.266340624225291,2,12.0,0.8198782016370022,2,12.0
1180.0,0,0.0,0.0,11.865460870997646,0,0.0,0.8869955356235723,0,0.0
1185.0,1,5.0,0.2,11.207708764077745,1,5.0,0.754835290148227,1,5.0
1190.0,3,18.0,0.6428571428571429,10.354012571687447,3,18.0,0.6621678934868698,3,18.0
1195.0,1,2.0,0.07692307692307693,8.841483437307643,1,2.0,0.6559279520805206,1,2.0
1200.0,5,17.0,0.6538461538461539,10.34597241775012,3,13.0,0.674644612411785,3,13.0
1205.0,5,37.0,1.088235294117647,10.236744741729193,4,29.0,0.6956627381506948,4,29.0
1210.0,0,0.0,0.0,11.374893816430829,0,0.0,0.9144425327773712,0,0.0
1215.0,2,4.0,0.14285714285714285,11.594908219508316,2,4.0,0.8159602041772103,2,4.0
1220.0,5,17.0,0.5862068965517241,9.13859524711747,5,17.0,0.44778712074608074,5,17.0
1225.0,2,3.0,0.09375,9.832405746935489,1,10.0,0.7558764593330624,1,10.0
1230.0,3,14.0,0.4666666666666667,10.532976715171197,1,7.0,0.7797642390896702,1,7.0
1235.0,3,16.0,0.5161290322580645,11.045966130549711,3,16.0,0.7903452784078276,3,16.0
1240.0,0,0.0,0.0,10.985030842662269,0,0.0,0.8068463187365841,0,0.0
1245.0,5,14.0,0.4827586206896552,9.518939136620954,5,14.0,0.575080352630525,5,14.0
1250.0,8,48.0,1.5,8.795003913896021,8,44.0,0.5210656352989411,8,44.0
1255.0,1,1.0,0.030303030303030304,9.867725719442962,0,12.0,0.7331378076464197,0,12.0
1260.0,3,7.0,0.2413793103448276,10.378530622193122,1,1.0,0.7337299800710843,1,1.0
1265.0,2,11.0,0.3333333333333333,10.378532495653996,2,13.0,0.6892258310824568,2,13.0
1270.0,3,4.0,0.11764705882352941,10.391551467351748,3,7.0,0.7082309601070141,3,7.0
1275.0,4,24.0,0.8,10.881175858196531,4,27.0,0.6895909418146808,4,27.0
1280.0,7,54.0,1.7419354838709677,9.4786319147622,6,55.0,0.6279006373231109,6,55.0
1285.0,1,2.0,0.06451612903225806,9.300421608035586,1,11.0,0.6880636572825792,1,11.0
1290.0,4,17.0,0.5666666666666667,9.517181041123413,3,14.0,0.6963597126298217,3,14.0
1295.0,5,42.0,1.3125,9.424221039873682,3,29.0,0.6450073850791692,3,29.0
1300.0,1,1.0,0.02631578947368421,10.35097632344806,1,1.0,0.8145469834301102,1,1.0
1305.0,3,12.0,0.36363636363636365,11.254307618873666,3,12.0,0.7404559774924713,3,12.0
1310.0,6,34.0,1.1333333333333333,9.493539270875981,4,32.0,0.6210268703311518,4,32.0
1315.0,1,1.0,0.03125,9.500728800047352,1,2.0,0.785230558493936,1,2.0
1320.0,3,10.0,0.35714285714285715,10.329697365052064,1,6.0,0.7784853423923217,1,6.0
1325.0,3,19.0,0.5588235294117647,11.352985403222945,2,13.0,0.7918912762249374,2,13.0
1330.0,1,1.0,0.029411764705882353,11.32736533816815,1,1.0,0.8789343098551309,1,1.0
1335.0,1,6.0,0.20689655172413793,10.926083110771692,1,6.0,0.7608892420485626,1,6.0
1340.0,7,31.0,1.24,7.906908316581909,6,29.0,0.4317863710043616,6,29.0
1345.0,1,1.0,0.030303030303030304,10.574473840312805,0,14.0,0.8289025157921526,0,14.0
1350.0,3,6.0,0.20689655172413793,10.712830794651216,1,1.0,0.7789266247951864,1,1.0
1355.0,4,25.0,0.7575757575757576,10.868350415712444,2,10.0,0.7862130935150431,2,10.0
1360.0,0,0.0,0.0,10.509425639214154,0,16.0,0.7772114569422142,0,16.0
1365.0,4,10.0,0.35714285714285715,9.54984633900716,4,10.0,0.5875152687640578,4,10.0
1370.0,6,40.0,1.1764705882352942,9.611799508610389,6,40.0,0.5720892924880692,6,40.0
1375.0,1,1.0,0.03125,10.323245262354927,0,0.0,0.8410010456286906,0,0.0
1380.0,3,8.0,0.27586206896551724,11.349828374200316,2,5.0,0.7680849208928029,2,5.0
1385.0,2,15.0,0.46875,10.708809620288317,2,15.0,0.6780540199189411,2,15.0
1390.0,1,3.0,0.0967741935483871,11.388826906132614,1,3.0,0.8621472056442366,1,3.0
1395.0,3,11.0,0.36666666666666664,11.027763861444202,3,11.0,0.741373384555429,3,11.0
1400.0,3,26.0,0.8387096774193549,10.545741738224425,3,26.0,0.6722037920373234,3,26.0
1405.0,0,0.0,0.0,10.359275918719101,0,0.0,0.814322110096818,0,0.0
1410.0,2,10.0,0.4166666666666667,10.193935944091544,2,10.0,0.7426212504252504,2,10.0
1415.0,3,22.0,0.7096774193548387,11.173164594742575,3,22.0,0.7189828121366415,3,22.0
1420.0,0,0.0,0.0,11.73163749614033,0,0.0,0.8911661995404414,0,0.0
1425.0,2,2.0,0.06896551724137931,11.798698984365815,2,2.0,0.8394476767681719,2,2.0
1430.0,4,14.0,0.5,8.93989378120748,4,13.0,0.602151146366246,4,13.0
1435.0,0,0.0,0.0,8.892313163801344,0,2.0,0.6849116576225481,0,2.0
1440.0,3,6.0,0.25,9.805516033132248,1,2.0,0.8347421493426672,1,2.0
