controller,seed,vtype,time_loss
green_wave,42,moto,14.31
green_wave,42,auto,9.78
green_wave,42,auto,12.26
green_wave,42,auto,8.31
green_wave,42,moto,9.62
green_wave,42,auto,23.03
green_wave,42,moto,18.34
green_wave,42,moto,15.69
green_wave,42,auto,10.07
green_wave,42,auto,23.24
green_wave,42,car,23.36
green_wave,42,moto,14.25
green_wave,42,moto,9.76
green_wave,42,moto,13.54
green_wave,42,moto,8.31
green_wave,42,auto,4.58
green_wave,42,auto,3.66
green_wave,42,car,3.4
green_wave,42,auto,18.01
green_wave,42,car,17.79
green_wave,42,auto,15.63
green_wave,42,car,6.65
green_wave,42,moto,6.51
green_wave,42,moto,22.54
green_wave,42,moto,2.13
green_wave,42,auto,26.53
green_wave,42,moto,22.89
green_wave,42,car,13.3
green_wave,42,moto,21.15
green_wave,42,moto,22.3
green_wave,42,moto,21.7
green_wave,42,moto,14.19
green_wave,42,moto,5.02
green_wave,42,car,16.11
green_wave,42,moto,20.25
green_wave,42,moto,24.08
green_wave,42,auto,22.01
green_wave,42,moto,23.63
green_wave,42,moto,15.94
green_wave,42,moto,11.4
green_wave,42,moto,16.07
green_wave,42,moto,18.36
green_wave,42,auto,19.02
green_wave,42,auto,3.29
green_wave,42,moto,16.01
green_wave,42,auto,15.23
green_wave,42,auto,14.32
green_wave,42,auto,16.55
green_wave,42,moto,1.5
green_wave,42,auto,1.2
green_wave,42,car,16.55
green_wave,42,car,19.6
green_wave,42,moto,22.65
green_wave,42,moto,19.7
green_wave,42,moto,25.65
green_wave,42,moto,12.68
green_wave,42,auto,11.67
green_wave,42,car,5.23
green_wave,42,car,12.93
green_wave,42,auto,11.55
green_wave,42,car,10.81
green_wave,42,moto,13.33
green_wave,42,auto,8.78
green_wave,42,auto,19.49
green_wave,42,moto,5.03
green_wave,42,auto,18.37
green_wave,42,moto,9.46
green_wave,42,moto,9.52
green_wave,42,moto,9.88
green_wave,42,moto,2.43
green_wave,42,moto,18.79
green_wave,42,auto,13.04
green_wave,42,car,10.26
green_wave,42,moto,7.92
green_wave,42,moto,4.48
green_wave,42,moto,21.72
green_wave,42,moto,23.46
green_wave,42,moto,17.14
green_wave,42,moto,4.68
green_wave,42,moto,23.66
green_wave,42,moto,18.52
green_wave,42,car,16.74
green_wave,42,moto,13.4
green_wave,42,moto,23.48
green_wave,42,moto,19.57
green_wave,42,car,11.12
green_wave,42,moto,18.01
green_wave,42,moto,31.28
green_wave,42,moto,8.82
green_wave,42,auto,28.77
green_wave,42,moto,15.98
green_wave,42,auto,22.82
green_wave,42,moto,13.79
green_wave,42,car,23.38
green_wave,42,car,6.39
green_wave,42,moto,8.53
green_wave,42,moto,5.82
green_wave,42,auto,11.7
green_wave,42,moto,7.16
green_wave,42,moto,5.82
green_wave,42,moto,5.61
green_wave,42,car,8.02
green_wave,42,moto,7.9
green_wave,42,auto,19.02
green_wave,42,moto,20.12
green_wave,42,moto,11.55
green_wave,42,car,22.72
green_wave,42,auto,19.98
green_wave,42,moto,19.41
green_wave,42,moto,11.44
green_wave,42,car,17.37
green_wave,42,auto,23.3
green_wave,42,auto,8.78
green_wave,42,moto,8.64
green_wave,42,car,21.7
green_wave,42,auto,6.1
green_wave,42,car,14.54
green_wave,42,moto,25.39
green_wave,42,car,25.45
green_wave,42,auto,4.88
green_wave,42,auto,20.36
green_wave,42,car,9.43
green_wave,42,moto,9.26
green_wave,42,moto,5.62
green_wave,42,moto,6.22
green_wave,42,car,13.0
green_wave,42,moto,23.52
green_wave,42,moto,12.75
green_wave,42,moto,2.59
green_wave,42,car,1.21
green_wave,42,moto,25.46
green_wave,42,moto,19.43
green_wave,42,moto,24.71
green_wave,42,car,28.28
green_wave,42,auto,22.6
green_wave,42,auto,10.96
green_wave,42,moto,11.91
green_wave,42,auto,26.34
green_wave,42,auto,23.27
green_wave,42,moto,28.1
green_wave,42,auto,10.47
green_wave,42,moto,14.49
green_wave,42,auto,28.02
green_wave,42,moto,21.1
green_wave,42,moto,21.46
green_wave,42,car,13.69
green_wave,42,moto,16.6
green_wave,42,auto,19.61
green_wave,42,car,16.87
green_wave,42,moto,4.87
green_wave,42,moto,8.86
green_wave,42,moto,7.37
green_wave,42,moto,2.24
green_wave,42,moto,6.15
green_wave,42,moto,14.68
green_wave,42,moto,19.35
green_wave,42,moto,17.56
green_wave,42,moto,27.91
green_wave,42,moto,15.42
green_wave,42,moto,7.3
green_wave,42,moto,22.46
green_wave,42,moto,22.09
green_wave,42,auto,18.53
green_wave,42,auto,24.33
green_wave,42,moto,5.0
green_wave,42,auto,26.31
green_wave,42,moto,25.21
green_wave,42,moto,26.41
green_wave,42,auto,19.0
green_wave,42,moto,31.98
green_wave,42,car,16.35
green_wave,42,moto,16.05
green_wave,42,auto,6.12
green_wave,42,auto,30.45
green_wave,42,moto,10.05
green_wave,42,moto,8.25
green_wave,42,auto,13.22
green_wave,42,moto,6.14
green_wave,42,moto,3.94
green_wave,42,moto,12.82
green_wave,42,car,12.69
green_wave,42,auto,5.17
green_wave,42,auto,2.32
green_wave,42,moto,10.36
green_wave,42,car,18.06
green_wave,42,auto,22.11
green_wave,42,car,11.91
green_wave,42,moto,15.31
green_wave,42,moto,16.91
green_wave,42,auto,16.98
green_wave,42,moto,3.84
green_wave,42,moto,19.23
green_wave,42,car,21.63
green_wave,42,moto,10.18
green_wave,42,moto,6.43
green_wave,42,moto,24.09
green_wave,42,moto,15.41
green_wave,42,moto,13.69
green_wave,42,car,12.62
green_wave,42,moto,9.81
green_wave,42,moto,12.96
green_wave,42,moto,11.58
green_wave,42,auto,22.18
green_wave,42,moto,2.13
green_wave,42,moto,13.92
green_wave,42,moto,4.19
green_wave,42,auto,16.07
green_wave,42,car,9.24
green_wave,42,moto,15.33
green_wave,42,moto,6.14
green_wave,42,moto,12.58
green_wave,42,auto,2.52
green_wave,42,auto,4.05
green_wave,42,car,10.78
green_wave,42,moto,21.99
green_wave,42,moto,16.17
green_wave,42,auto,7.69
green_wave,42,auto,1.08
green_wave,42,auto,10.25
green_wave,42,moto,2.7
green_wave,42,moto,2.44
green_wave,42,moto,22.02
green_wave,42,moto,14.5
green_wave,42,moto,15.57
green_wave,42,moto,15.5
green_wave,42,auto,24.84
green_wave,42,moto,22.4
green_wave,42,moto,8.8
green_wave,42,moto,20.16
green_wave,42,moto,6.3
green_wave,42,car,39.26
green_wave,42,moto,19.48
green_wave,42,car,25.29
green_wave,42,moto,25.92
green_wave,42,auto,20.55
green_wave,42,moto,18.67
green_wave,42,auto,24.04
green_wave,42,moto,16.35
green_wave,42,moto,17.71
green_wave,42,moto,24.96
green_wave,42,moto,13.59
green_wave,42,moto,25.29
green_wave,42,moto,21.77
green_wave,42,auto,20.18
green_wave,42,auto,24.98
green_wave,42,auto,19.85
green_wave,42,auto,25.53
green_wave,42,moto,25.81
green_wave,42,auto,18.25
green_wave,42,moto,11.91
green_wave,42,car,24.1
green_wave,42,moto,11.45
green_wave,42,moto,10.27
green_wave,42,moto,11.74
green_wave,42,car,11.04
green_wave,42,car,7.06
green_wave,42,moto,7.15
green_wave,42,moto,7.12
green_wave,42,car,15.19
green_wave,42,moto,14.3
green_wave,42,moto,18.04
green_wave,42,car,13.63
green_wave,42,auto,2.51
green_wave,42,moto,10.65
green_wave,42,auto,14.84
green_wave,42,moto,2.3
green_wave,42,auto,12.21
green_wave,42,car,19.93
green_wave,42,car,20.67
green_wave,42,moto,7.3
green_wave,42,moto,19.72
green_wave,42,moto,13.79
green_wave,42,moto,9.44
green_wave,42,moto,8.78
green_wave,42,moto,23.81
green_wave,42,moto,21.2
green_wave,42,auto,12.81
green_wave,42,moto,12.97
green_wave,42,moto,22.42
green_wave,42,moto,11.04
green_wave,42,auto,11.63
green_wave,42,moto,4.11
green_wave,42,moto,28.56
green_wave,42,moto,8.6
green_wave,42,auto,20.84
green_wave,42,moto,4.57
green_wave,42,car,9.68
green_wave,42,car,10.24
green_wave,42,moto,20.68
green_wave,42,moto,5.57
green_wave,42,moto,4.27
green_wave,42,moto,11.94
green_wave,42,car,15.15
green_wave,42,auto,16.23
green_wave,42,car,4.97
green_wave,42,moto,4.99
green_wave,42,moto,26.41
green_wave,42,moto,14.85
green_wave,42,moto,7.73
green_wave,42,moto,19.88
green_wave,42,auto,28.01
green_wave,42,auto,12.8
green_wave,42,moto,25.23
green_wave,42,auto,2.73
green_wave,42,moto,9.91
green_wave,42,auto,14.53
green_wave,42,moto,6.17
green_wave,42,auto,7.7
green_wave,42,auto,4.78
green_wave,42,auto,19.02
green_wave,42,moto,1.38
